day	Anno	celltype	UMAP_1	UMAP_2	Car10	Hivep3	Jazf1	Ntng1	Pou6f2	Tshz2	Zfp804b
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.72	2.7	0	3.6	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.28	1.96	0	0	0	0	0	4.3	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.99	-1.67	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.98	2.76	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.95	0.42	0	0	5.1	0	0	5.1	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.21	3.63	0	0	0	0	0	3.9	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.14	-5.1	0	0	0	5.2	0	6.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.09	5.98	0	0	0	6.2	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.3	-3.51	4	0	0	0	0	6.1	4.7
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.84	-0.02	0	0	0	0	0	4.7	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-7.46	-2.05	0	0	0	0	5	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.16	5.8	0	0	4.9	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.89	0.11	0	0	0	0	4.7	0	3.6
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.84	-0.73	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1	3.12	0	0	0	0	0	5.3	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.22	-0.47	0	0	4.5	0	5.9	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.31	0.29	5.1	4.5	0	0	0	4.5	5.1
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.34	0.71	0	0	0	0	0	4.7	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.69	0.56	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.43	-2.73	0	0	0	5.6	0	4.9	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	6.8	-1.51	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.99	2.11	0	0	0	0	0	0	4.9
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.79	1.24	0	0	0	0	0	4.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.92	6.4	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0	-1.22	6.3	0	3.9	6.5	0	0	0
